@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
116,6727,5,3158,395,0.888826,0.999257,0.680526,0.999257,0.319474,0.809653,0.961108,1.039693,0.069583
117,6727,5,3157,396,0.888545,0.999257,0.680595,0.999257,0.319405,0.809701,0.961011,1.039798,0.07
118,6727,5,3106,447,0.874191,0.999257,0.684125,0.999257,0.315875,0.812194,0.956053,1.045191,0.070481
119,6727,5,3105,448,0.873909,0.999257,0.684194,0.999257,0.315806,0.812243,0.955955,1.045297,0.070882
120,6727,5,3104,449,0.873628,0.999257,0.684264,0.999257,0.315736,0.812292,0.955858,1.045403,0.071034
121,6727,5,3103,450,0.873346,0.999257,0.684334,0.999257,0.315666,0.812342,0.955761,1.04551,0.071111
122,6727,5,3102,451,0.873065,0.999257,0.684403,0.999257,0.315597,0.812391,0.955664,1.045616,0.071134
123,6727,5,3101,452,0.872784,0.999257,0.684473,0.999257,0.315527,0.81244,0.955566,1.045723,0.07125
124,6727,5,3100,453,0.872502,0.999257,0.684543,0.999257,0.315457,0.812489,0.955469,1.045829,0.072
125,6727,5,3099,454,0.872221,0.999257,0.684612,0.999257,0.315388,0.812538,0.955372,1.045935,0.072361
126,6727,5,3098,455,0.871939,0.999257,0.684682,0.999257,0.315318,0.812587,0.955275,1.046042,0.0725
127,6727,5,3096,457,0.871376,0.999257,0.684821,0.999257,0.315179,0.812685,0.95508,1.046255,0.0735
128,6727,5,3094,459,0.870813,0.999257,0.684961,0.999257,0.315039,0.812783,0.954886,1.046468,0.073605
129,6727,5,3093,460,0.870532,0.999257,0.685031,0.999257,0.314969,0.812832,0.954789,1.046574,0.073636
130,6727,5,3092,461,0.87025,0.999257,0.6851,0.999257,0.3149,0.812881,0.954691,1.046681,0.074286
131,6727,5,3091,462,0.869969,0.999257,0.68517,0.999257,0.31483,0.812931,0.954594,1.046788,0.074406
132,6727,5,3090,463,0.869688,0.999257,0.68524,0.999257,0.31476,0.81298,0.954497,1.046894,0.074848
133,6727,5,3089,464,0.869406,0.999257,0.68531,0.999257,0.31469,0.813029,0.9544,1.047001,0.075
134,6727,5,3088,465,0.869125,0.999257,0.68538,0.999257,0.31462,0.813078,0.954302,1.047108,0.075303
135,6727,5,3086,467,0.868562,0.999257,0.685519,0.999257,0.314481,0.813176,0.954108,1.047321,0.075455
136,6727,5,3085,468,0.86828,0.999257,0.685589,0.999257,0.314411,0.813225,0.954011,1.047428,0.076
137,6727,5,3084,469,0.867999,0.999257,0.685659,0.999257,0.314341,0.813274,0.953913,1.047535,0.076105
138,6727,5,3083,470,0.867717,0.999257,0.685729,0.999257,0.314271,0.813324,0.953816,1.047641,0.076667
139,6727,5,3082,471,0.867436,0.999257,0.685799,0.999257,0.314201,0.813373,0.953719,1.047748,0.076852
140,6727,5,3081,472,0.867155,0.999257,0.685869,0.999257,0.314131,0.813422,0.953622,1.047855,0.076923
141,6727,5,3080,473,0.866873,0.999257,0.685939,0.999257,0.314061,0.813471,0.953525,1.047962,0.077143
142,6727,5,3078,475,0.86631,0.999257,0.686079,0.999257,0.313921,0.81357,0.95333,1.048176,0.0775
143,6726,6,3076,477,0.865747,0.999109,0.686186,0.999109,0.313814,0.813596,0.953038,1.04834,0.077692
144,6725,7,3074,479,0.865184,0.99896,0.686295,0.99896,0.313705,0.813623,0.952747,1.048506,0.078
145,6725,7,3073,480,0.864903,0.99896,0.686365,0.99896,0.313635,0.813672,0.952649,1.048613,0.078182
146,6725,7,3072,481,0.864621,0.99896,0.686435,0.99896,0.313565,0.813721,0.952552,1.04872,0.078333
147,6725,7,3071,482,0.86434,0.99896,0.686505,0.99896,0.313495,0.813771,0.952455,1.048827,0.078571
148,6725,7,3070,483,0.864059,0.99896,0.686575,0.99896,0.313425,0.81382,0.952358,1.048934,0.07937
149,6725,7,3069,484,0.863777,0.99896,0.686645,0.99896,0.313355,0.813869,0.952261,1.049041,0.0795
150,6725,7,3068,485,0.863496,0.99896,0.686715,0.99896,0.313285,0.813918,0.952163,1.049148,0.079808
151,6725,7,3067,486,0.863214,0.99896,0.686785,0.99896,0.313215,0.813968,0.952066,1.049255,0.08
152,6723,9,3020,533,0.849986,0.998663,0.690034,0.998663,0.309966,0.816146,0.947302,1.054218,0.080714
153,6723,9,3019,534,0.849704,0.998663,0.690105,0.998663,0.309895,0.816195,0.947205,1.054327,0.081
154,6723,9,3018,535,0.849423,0.998663,0.690176,0.998663,0.309824,0.816245,0.947107,1.054435,0.081034
155,6723,9,3017,536,0.849142,0.998663,0.690246,0.998663,0.309754,0.816294,0.94701,1.054543,0.081053
156,6723,9,3016,537,0.84886,0.998663,0.690317,0.998663,0.309683,0.816344,0.946913,1.054651,0.081111
157,6723,9,3015,538,0.848579,0.998663,0.690388,0.998663,0.309612,0.816393,0.946816,1.05476,0.081154
158,6723,9,3014,539,0.848297,0.998663,0.690459,0.998663,0.309541,0.816443,0.946719,1.054868,0.082
159,6723,9,3013,540,0.848016,0.998663,0.69053,0.998663,0.30947,0.816493,0.946621,1.054976,0.0825
160,6723,9,3012,541,0.847734,0.998663,0.690601,0.998663,0.309399,0.816542,0.946524,1.055085,0.082847
161,6723,9,3011,542,0.847453,0.998663,0.690672,0.998663,0.309328,0.816592,0.946427,1.055193,0.083333
162,6723,9,3010,543,0.847171,0.998663,0.690743,0.998663,0.309257,0.816641,0.94633,1.055302,0.083333
163,6723,9,3009,544,0.84689,0.998663,0.690814,0.998663,0.309186,0.816691,0.946232,1.05541,0.083462
164,6723,9,3008,545,0.846608,0.998663,0.690885,0.998663,0.309115,0.816741,0.946135,1.055518,0.083684
165,6723,9,3007,546,0.846327,0.998663,0.690956,0.998663,0.309044,0.81679,0.946038,1.055627,0.083929
166,6723,9,3006,547,0.846046,0.998663,0.691027,0.998663,0.308973,0.81684,0.945941,1.055735,0.084054
167,6723,9,3005,548,0.845764,0.998663,0.691098,0.998663,0.308902,0.816889,0.945843,1.055844,0.084167
168,6723,9,3004,549,0.845483,0.998663,0.691169,0.998663,0.308831,0.816939,0.945746,1.055953,0.084444
169,6723,9,3003,550,0.845201,0.998663,0.69124,0.998663,0.30876,0.816989,0.945649,1.056061,0.084667
170,6723,9,3002,551,0.84492,0.998663,0.691311,0.998663,0.308689,0.817038,0.945552,1.05617,0.085
171,6722,10,3000,553,0.844357,0.998515,0.691422,0.998515,0.308578,0.817066,0.94526,1.056338,0.085417
172,6722,10,2999,554,0.844075,0.998515,0.691493,0.998515,0.308507,0.817115,0.945163,1.056447,0.085556
173,6722,10,2998,555,0.843794,0.998515,0.691564,0.998515,0.308436,0.817165,0.945066,1.056556,0.086
174,6721,11,2998,555,0.843794,0.998366,0.691532,0.998366,0.308468,0.817093,0.944968,1.056507,0.086324
175,6721,11,2997,556,0.843513,0.998366,0.691603,0.998366,0.308397,0.817143,0.944871,1.056616,0.086364
176,6721,11,2996,557,0.843231,0.998366,0.691674,0.998366,0.308326,0.817193,0.944774,1.056725,0.0865
177,6721,11,2995,558,0.84295,0.998366,0.691746,0.998366,0.308254,0.817242,0.944677,1.056834,0.086531
178,6721,11,2994,559,0.842668,0.998366,0.691817,0.998366,0.308183,0.817292,0.944579,1.056942,0.086786
179,6721,11,2993,560,0.842387,0.998366,0.691888,0.998366,0.308112,0.817342,0.944482,1.057051,0.086794
180,6721,11,2992,561,0.842105,0.998366,0.691959,0.998366,0.308041,0.817391,0.944385,1.05716,0.087143
181,6721,11,2991,562,0.841824,0.998366,0.69203,0.998366,0.30797,0.817441,0.944288,1.057269,0.0872
182,6721,11,2990,563,0.841542,0.998366,0.692102,0.998366,0.307898,0.817491,0.944191,1.057378,0.087333
183,6721,11,2989,564,0.841261,0.998366,0.692173,0.998366,0.307827,0.81754,0.944093,1.057487,0.087725
184,6721,11,2988,565,0.840979,0.998366,0.692244,0.998366,0.307756,0.81759,0.943996,1.057595,0.087726
185,6721,11,2987,566,0.840698,0.998366,0.692316,0.998366,0.307684,0.81764,0.943899,1.057704,0.087778
186,6721,11,2986,567,0.840417,0.998366,0.692387,0.998366,0.307613,0.81769,0.943802,1.057813,0.088
187,6721,11,2983,570,0.839572,0.998366,0.692601,0.998366,0.307399,0.817839,0.94351,1.05814,0.088317
188,6721,11,2982,571,0.839291,0.998366,0.692672,0.998366,0.307328,0.817889,0.943413,1.058249,0.088333
189,6721,11,2981,572,0.839009,0.998366,0.692744,0.998366,0.307256,0.817938,0.943316,1.058359,0.088571
190,6721,11,2980,573,0.838728,0.998366,0.692815,0.998366,0.307185,0.817988,0.943218,1.058468,0.088613
191,6721,11,2979,574,0.838446,0.998366,0.692887,0.998366,0.307113,0.818038,0.943121,1.058577,0.089048
192,6721,11,2978,575,0.838165,0.998366,0.692958,0.998366,0.307042,0.818088,0.943024,1.058686,0.089071
193,6721,11,2977,576,0.837883,0.998366,0.693029,0.998366,0.306971,0.818138,0.942927,1.058795,0.089339
194,6721,11,2976,577,0.837602,0.998366,0.693101,0.998366,0.306899,0.818187,0.942829,1.058904,0.089737
195,6721,11,2975,578,0.837321,0.998366,0.693172,0.998366,0.306828,0.818237,0.942732,1.059013,0.09
196,6721,11,2923,630,0.822685,0.998366,0.69691,0.998366,0.30309,0.820835,0.937676,1.064724,0.090476
197,6721,11,2922,631,0.822404,0.998366,0.696982,0.998366,0.303018,0.820885,0.937579,1.064834,0.090833
198,6721,11,2921,632,0.822122,0.998366,0.697055,0.998366,0.302945,0.820936,0.937482,1.064944,0.091
199,6721,11,2920,633,0.821841,0.998366,0.697127,0.998366,0.302873,0.820986,0.937385,1.065055,0.091111
200,6721,11,2919,634,0.821559,0.998366,0.697199,0.998366,0.302801,0.821036,0.937287,1.065165,0.091154
201,6721,11,2918,635,0.821278,0.998366,0.697272,0.998366,0.302728,0.821086,0.93719,1.065276,0.09125
202,6721,11,2916,637,0.820715,0.998366,0.697416,0.998366,0.302584,0.821186,0.936996,1.065497,0.091538
203,6721,11,2915,638,0.820433,0.998366,0.697489,0.998366,0.302511,0.821237,0.936898,1.065608,0.092111
204,6721,11,2914,639,0.820152,0.998366,0.697561,0.998366,0.302439,0.821287,0.936801,1.065718,0.092381
205,6721,11,2913,640,0.819871,0.998366,0.697633,0.998366,0.302367,0.821337,0.936704,1.065829,0.0925
206,6721,11,2912,641,0.819589,0.998366,0.697706,0.998366,0.302294,0.821387,0.936607,1.065939,0.092619
207,6721,11,2911,642,0.819308,0.998366,0.697778,0.998366,0.302222,0.821437,0.936509,1.06605,0.092857
208,6721,11,2910,643,0.819026,0.998366,0.697851,0.998366,0.302149,0.821488,0.936412,1.066161,0.093
209,6721,11,2909,644,0.818745,0.998366,0.697923,0.998366,0.302077,0.821538,0.936315,1.066271,0.093333
210,6721,11,2908,645,0.818463,0.998366,0.697996,0.998366,0.302004,0.821588,0.936218,1.066382,0.093333
211,6721,11,2907,646,0.818182,0.998366,0.698068,0.998366,0.301932,0.821638,0.936121,1.066493,0.093701
212,6721,11,2906,647,0.8179,0.998366,0.698141,0.998366,0.301859,0.821688,0.936023,1.066604,0.094333
213,6721,11,2905,648,0.817619,0.998366,0.698213,0.998366,0.301787,0.821739,0.935926,1.066715,0.095
214,6721,11,2902,651,0.816775,0.998366,0.698431,0.998366,0.301569,0.821889,0.935634,1.067047,0.095429
215,6721,11,2901,652,0.816493,0.998366,0.698503,0.998366,0.301497,0.82194,0.935537,1.067158,0.095509
216,6720,12,2901,652,0.816493,0.998217,0.698472,0.998217,0.301528,0.821868,0.93544,1.06711,0.095761
217,6720,12,2900,653,0.816212,0.998217,0.698545,0.998217,0.301455,0.821918,0.935343,1.067221,0.096061
218,6719,13,2900,653,0.816212,0.998069,0.698513,0.998069,0.301487,0.821846,0.935246,1.067173,0.096429
219,6719,13,2899,654,0.81593,0.998069,0.698586,0.998069,0.301414,0.821896,0.935148,1.067284,0.096667
220,6719,13,2898,655,0.815649,0.998069,0.698659,0.998069,0.301341,0.821946,0.935051,1.067395,0.096667
221,6719,13,2896,657,0.815086,0.998069,0.698804,0.998069,0.301196,0.822047,0.934857,1.067617,0.096786
222,6719,13,2895,658,0.814804,0.998069,0.698877,0.998069,0.301123,0.822097,0.934759,1.067728,0.097
223,6719,13,2894,659,0.814523,0.998069,0.698949,0.998069,0.301051,0.822147,0.934662,1.067839,0.097222
224,6719,13,2893,660,0.814241,0.998069,0.699022,0.998069,0.300978,0.822198,0.934565,1.06795,0.097333
225,6719,13,2892,661,0.81396,0.998069,0.699095,0.998069,0.300905,0.822248,0.934468,1.068061,0.0975
226,6719,13,2891,662,0.813679,0.998069,0.699168,0.998069,0.300832,0.822298,0.93437,1.068173,0.099
227,6719,13,2890,663,0.813397,0.998069,0.69924,0.998069,0.30076,0.822349,0.934273,1.068284,0.099091
228,6719,13,2888,665,0.812834,0.998069,0.699386,0.998069,0.300614,0.822449,0.934079,1.068506,0.099231
229,6719,13,2887,666,0.812553,0.998069,0.699459,0.998069,0.300541,0.8225,0.933982,1.068617,0.1
230,6719,13,2842,711,0.799887,0.998069,0.702751,0.998069,0.297249,0.824771,0.929606,1.073647,0.100022
231,6719,13,2841,712,0.799606,0.998069,0.702824,0.998069,0.297176,0.824822,0.929509,1.073759,0.100357
